1627976252.055935,migration switch9,Rate 23.028778353151125, from 3, to 2,1627976247.804029,4.251909971237183
1627976252.6250048,migration switch4,Rate 27.901687564157903, from 1, to 2,1627976251.5032682,1.1217379570007324
1627976253.728618,migration switch6,Rate 59.394985551849174, from 1, to 3,1627976252.6250763,1.103543996810913
1627976254.1179733,migration switch2,Rate 15.43151507615809, from 2, to 3,1627976249.9371355,4.1808388233184814
1627976255.211979,migration switch4,Rate 20.895084322429476, from 2, to 1,1627976254.1180882,1.0938920974731445
1627976256.2548378,migration switch9,Rate 23.90541704490571, from 2, to 1,1627976255.2120783,1.0427603721618652
1627976257.5369112,migration switch2,Rate 19.355120589107912, from 3, to 1,1627976252.0565727,5.480341672897339
1627976258.6403904,migration switch6,Rate 57.0022289890227, from 3, to 1,1627976257.5380704,1.1023228168487549
1627976260.8524022,migration switch2,Rate 19.252589211128015, from 1, to 3,1627976253.729357,7.123046398162842
1627976261.967538,migration switch4,Rate 22.02605938922128, from 1, to 3,1627976260.8524997,1.1150412559509277
1627976263.0670416,migration switch4,Rate 16.685897246199083, from 3, to 1,1627976258.6412692,4.425774097442627
1627976264.238618,migration switch2,Rate 19.791311380122238, from 3, to 1,1627976263.0676613,1.170959711074829
1627976319.3205626,migration switch5,Rate 23.877168471017217, from 1, to 3,1627976261.9682145,57.35235071182251
1627976320.3932183,migration switch9,Rate 34.59397105873455, from 1, to 3,1627976319.3214293,1.0717906951904297
1627976321.6623733,migration switch11,Rate 24.2078017660718, from 2, to 3,1627976256.254996,65.40737915039062
1627976322.7783062,migration switch14,Rate 34.35954619709688, from 2, to 3,1627976321.6631005,1.1152069568634033
